Redazione,Voto,Critica
Cheat Code Central,96,"A great Wii U game. While the control scheme is unconventional, it's fitting for a game that goes out of its way to surprise you with additional modes, trophy rewards, hidden locations, and a spin-off with gameplay never before attempted within the series. Which, in a way makes sense."
CGMagazine,95,"Star Fox Zero is the most fun I’ve had with any Wii U game to date. The title more than makes up for Fox McCloud’s conspicuous absence for a decade and proves just what a uniquely satisfying gaming experience the gamepad offers when treated as an asset by game designers, rather than a bulky requirement to work with Nintendo’s mascots. It’s beautiful, challenging, deep, addictive, and plays unlike any other space shoot em’ up I’ve ever experienced."
Atmoix,90,"Star Fox Zero is the first game that really exploits the capabilities of the Wii U's gamepad. Its superb controls, great music, awesome characters and breathtaking level design make it a must have to all Nintendo's fans out there. If you were expecting a sequel to the great Star Fox 64, we can tell you that the wait is over."
Hobby Consolas,88,"Despite its poor visuals compared to other recent titles for Wii U, StarFox Zero retains the charm that made the StarFox saga a classic, almost a genre on its own, and implements a new control scheme that uses the GamePad for precise aiming. Full of hidden paths, with a great learning curve, different vehicles, and true ""classic"" gameplay, StarFox Zero is a MUST if you own a Wii U."
LevelUp,86,"A return to form for the Star Fox franchise, Zero is a winning mix of Nintendo's innovative gameplay and Platinum straightforward, dashing action, but it can be confusing for newcomers. It will be divisive, but it shines."
NZGamer,85,"It's rough around the edges, but it sports one of the best, most interesting uses of the Wii U hardware – it just takes a bit of time and effort for the control scheme to really show its true colours."
Multiplayer.it,85,"Star Fox Zero is hard to master, but eventually the new control system works pretty well. Even if not all the vehicles are equally fun to play, the game is a convincing comeback of a much beloved franchise."
The Games Machine,85,"Star Fox Zero is an excellent shoot'em up, but at the same time an intimate tribute to an era where high scores and fun for fun's sake were king. The game offers solid gameplay, good variety and a frantic pace. A title that deserves a place in every Wii U owner's house."
GamesBeat,83,"It’s a little sad that Star Fox Zero, a game that wonderfully shows the benefits of the Wii U Gamepad, came out so late in the system’s life. Still, it’s worth getting for anyone who owns the console, especially if you were a fan of the series in the ’90s."
Games Master UK,82,"A willfully offbeat shooter with real depth. Awkward at first, but incredibly satisfying to master."
IGN Italia,82,"Fast & furious: the Fox team is back with an old-school shooter that's visually underwhelming, but that's a joy to play (even if the control scheme can be a bit tricky)."
